pdb_id,chain,protein,is_actin
8f8r,8f8r_A,"Actin, alpha skeletal muscle",True
8f8r,8f8r_B,"Actin, alpha skeletal muscle",True
8f8r,8f8r_C,"Actin, alpha skeletal muscle",True
8f8r,8f8r_D,"Actin, alpha skeletal muscle",True
8f8r,8f8r_E,"Actin, alpha skeletal muscle",True
8f8r,8f8r_F,"Actin, alpha skeletal muscle",True
8f8r,8f8r_G,"Actin, alpha skeletal muscle",True
7pdz,7pdz_E,Isoform 2 of F-actin-capping protein subunit beta,False
7pdz,7pdz_F,F-actin-capping protein subunit alpha-1,False
7pdz,7pdz_I,"Actin, cytoplasmic 1",True
7pdz,7pdz_J,"Actin, cytoplasmic 1",True
7pdz,7pdz_K,"Actin, cytoplasmic 1",True
7pdz,7pdz_L,"Actin, cytoplasmic 1",True
7pdz,7pdz_N,"Actin, cytoplasmic 1",True
7pdz,7pdz_O,"Actin, cytoplasmic 1",True
9az6,9az6_A,"Actin, alpha skeletal muscle",True
9az6,9az6_B,"Actin, alpha skeletal muscle",True
9az6,9az6_C,"Actin, alpha skeletal muscle",True
9az6,9az6_H,Talin-1,False
9az6,9az6_I,Talin-1,False
9az6,9az6_D,"Actin, alpha skeletal muscle",True
9az6,9az6_F,Talin-1,False
9az6,9az6_J,Talin-1,False
9az6,9az6_K,Talin-1,False
9az6,9az6_E,"Actin, alpha skeletal muscle",True
9az6,9az6_L,Talin-1,False
9az6,9az6_M,Talin-1,False
9az6,9az6_G,Talin-1,False
8f8q,8f8q_A,"Actin, alpha skeletal muscle",True
8f8q,8f8q_B,"Actin, alpha skeletal muscle",True
8f8q,8f8q_C,"Actin, alpha skeletal muscle",True
8f8q,8f8q_D,"Actin, alpha skeletal muscle",True
8f8q,8f8q_E,"Actin, alpha skeletal muscle",True
8f8q,8f8q_F,"Actin, alpha skeletal muscle",True
8f8q,8f8q_G,F-actin-capping protein subunit alpha-1,False
8f8q,8f8q_H,F-actin-capping protein subunit beta,False
9go5,9go5_A,Actin,True
9go5,9go5_B,Actin,True
9go5,9go5_C,Actin,True
9go5,9go5_D,Actin,True
9go5,9go5_E,Actin,True
9dva,9dva_A,"Actin, alpha skeletal muscle",True
9dva,9dva_B,"Actin, alpha skeletal muscle",True
9dva,9dva_D,"Actin, alpha skeletal muscle",True
9dva,9dva_H,Catenin alpha-1,False
9dva,9dva_C,"Actin, alpha skeletal muscle",True
9dva,9dva_E,"Actin, alpha skeletal muscle",True
9dva,9dva_F,Catenin alpha-1,False
9dva,9dva_G,Afadin,False
8f8p,8f8p_A,"Actin, alpha skeletal muscle",True
8f8p,8f8p_B,"Actin, alpha skeletal muscle",True
8f8p,8f8p_C,"Actin, alpha skeletal muscle",True
8f8p,8f8p_D,"Actin, alpha skeletal muscle",True
8f8p,8f8p_E,"Actin, alpha skeletal muscle",True
9duu,9duu_A,"Actin, alpha skeletal muscle",True
9duu,9duu_B,"Actin, alpha skeletal muscle",True
9duu,9duu_C,"Actin, alpha skeletal muscle",True
9duu,9duu_D,"Actin, alpha skeletal muscle",True
9duu,9duu_E,"Actin, alpha skeletal muscle",True
9duu,9duu_F,"Actin, alpha skeletal muscle",True
7uxf,7uxf_A,"Actin, alpha skeletal muscle",True
7uxf,7uxf_B,"Actin, alpha skeletal muscle",True
7uxf,7uxf_C,"Actin, alpha skeletal muscle",True
7uxf,7uxf_D,"Actin, alpha skeletal muscle",True
7uxf,7uxf_E,"Actin, alpha skeletal muscle",True
7uxf,7uxf_F,"Actin, alpha skeletal muscle",True
9fjy,9fjy_A,"Actin, cytoplasmic 1, N-terminally processed",True
9fjy,9fjy_B,"Actin, cytoplasmic 1, N-terminally processed",True
9fjy,9fjy_C,"Actin, cytoplasmic 1, N-terminally processed",True
9fjy,9fjy_D,"Actin, cytoplasmic 1, N-terminally processed",True
9fjy,9fjy_E,Deoxyribonuclease-1,False
9fjy,9fjy_F,Deoxyribonuclease-1,False
4b1z,4b1z_M,PHOSPHATASE AND ACTIN REGULATOR 1,False
4b1z,4b1z_F,"ACTIN, ALPHA SKELETAL MUSCLE",True
4b1z,4b1z_A,"ACTIN, ALPHA SKELETAL MUSCLE",True
4b1z,4b1z_B,"ACTIN, ALPHA SKELETAL MUSCLE",True
4b1z,4b1z_C,"ACTIN, ALPHA SKELETAL MUSCLE",True
4b1z,4b1z_N,PHOSPHATASE AND ACTIN REGULATOR 1,False
4b1z,4b1z_D,"ACTIN, ALPHA SKELETAL MUSCLE",True
4b1z,4b1z_E,"ACTIN, ALPHA SKELETAL MUSCLE",True
8vkh,8vkh_A,"Actin, alpha skeletal muscle",True
8vkh,8vkh_B,"Actin, alpha skeletal muscle",True
8vkh,8vkh_C,"Actin, alpha skeletal muscle",True
8vkh,8vkh_D,"Actin, alpha skeletal muscle",True
8vkh,8vkh_E,"Actin, alpha skeletal muscle",True
8vkh,8vkh_H,Gelsolin,False
8vkh,8vkh_F,"Actin, alpha skeletal muscle",True
8vkh,8vkh_G,Gelsolin,False
9fju,9fju_A,"Actin, cytoplasmic 1, N-terminally processed",True
9fju,9fju_B,"Actin, cytoplasmic 1, N-terminally processed",True
9fju,9fju_C,"Actin, cytoplasmic 1, N-terminally processed",True
9fju,9fju_D,"Actin, cytoplasmic 1, N-terminally processed",True
9fju,9fju_E,Deoxyribonuclease-1,False
9fju,9fju_F,Deoxyribonuclease-1,False
3j8a,3j8a_E,"Actin, alpha skeletal muscle",True
3j8a,3j8a_D,"Actin, alpha skeletal muscle",True
3j8a,3j8a_A,"Actin, alpha skeletal muscle",True
3j8a,3j8a_C,"Actin, alpha skeletal muscle",True
3j8a,3j8a_B,"Actin, alpha skeletal muscle",True
7utj,7utj_A,"Actin, alpha skeletal muscle",True
7utj,7utj_B,"Actin, alpha skeletal muscle",True
